match_id,game_identifier,scheduled,venue_name,venue_city,home_id,home_name,home_alias,home_market,away_id,away_name,away_alias,away_market,home_games_played,home_insufficient_data,home_recent_points,home_recent_field_goals_pct,home_recent_three_points_pct,home_recent_free_throws_pct,home_recent_assists,home_recent_steals,home_recent_blocks,home_recent_offensive_rebounds,home_recent_defensive_rebounds,home_recent_wins,home_recent_losses,home_recent_win_pct,home_recent_ppg,home_recent_opp_ppg,home_recent_point_diff,home_recent_scoring_trend,away_games_played,away_insufficient_data,away_recent_points,away_recent_field_goals_pct,away_recent_three_points_pct,away_recent_free_throws_pct,away_recent_assists,away_recent_steals,away_recent_blocks,away_recent_offensive_rebounds,away_recent_defensive_rebounds,away_recent_wins,away_recent_losses,away_recent_win_pct,away_recent_ppg,away_recent_opp_ppg,away_recent_point_diff,away_recent_scoring_trend,scoring_advantage_home,form_advantage_home,defensive_advantage_home,ball_control_advantage_home,home_points,away_points,total_points,point_differential,home_won,away_won
612355e0-14a6-4b50-b26a-ddfd5586941b,2025-04-11_CLE@NYK,2025-04-11T23:30:00Z,Madison Square Garden,New York,583ec70e-fb46-11e1-82cb-f4ce4684ea4c,New York Knicks,NYK,,583ec773-fb46-11e1-82cb-f4ce4684ea4c,Cleveland Cavaliers,CLE,,5,False,112.2,49.26,37.3,78.2,28.8,8.0,4.4,11.0,29.8,2,3,0.4,112.2,112.2,0.0,stable,5,False,119.6,49.5,39.54,69.14,28.8,8.8,4.0,12.4,32.0,3,2,0.6,119.6,113.0,6.6,stable,-7.4,-0.2,0.8,0.0,102,108,210,-6,0,1
0b80b6a8-921d-4b26-9cb2-a578ebf59bd6,2025-04-11_ATL@PHI,2025-04-11T23:00:00Z,Xfinity Mobile Arena,Philadelphia,583ec87d-fb46-11e1-82cb-f4ce4684ea4c,Philadelphia 76ers,PHI,,583ecb8f-fb46-11e1-82cb-f4ce4684ea4c,Atlanta Hawks,ATL,,5,False,108.0,44.96,29.62,71.58,23.8,9.0,5.0,13.4,29.8,1,4,0.2,108.0,113.0,-5.0,down,5,False,123.0,49.86,39.82,78.98,31.4,8.6,4.0,10.6,32.4,2,3,0.4,123.0,120.6,2.4,down,-15.0,-0.2,7.6,-7.6,110,124,234,-14,0,1
14d18ee9-994c-4812-89e6-5df839ebe547,2025-04-11_MIL@DET,2025-04-11T23:00:00Z,Little Caesars Arena,Detroit,583ec928-fb46-11e1-82cb-f4ce4684ea4c,Detroit Pistons,DET,,583ecefd-fb46-11e1-82cb-f4ce4684ea4c,Milwaukee Bucks,MIL,,5,False,111.0,45.9,32.3,78.22,24.2,7.6,6.0,10.6,30.6,2,3,0.4,111.0,113.2,-2.2,down,5,False,120.8,51.3,38.52,69.66,28.8,8.8,4.0,7.8,37.0,5,0,1.0,120.8,109.8,11.0,stable,-9.8,-0.6,-3.4,-4.6,119,125,244,-6,0,1
2b9c2695-d50d-42dd-b6b1-e8ed632fc9f9,2025-04-11_ORL@IND,2025-04-11T23:00:00Z,Gainbridge Fieldhouse,Indianapolis,583ec7cd-fb46-11e1-82cb-f4ce4684ea4c,Indiana Pacers,IND,,583ed157-fb46-11e1-82cb-f4ce4684ea4c,Orlando Magic,ORL,,5,False,120.4,47.76,34.46,74.5,30.0,7.6,9.2,10.4,34.6,5,0,1.0,120.4,109.4,11.0,up,5,False,105.4,44.86,35.74,84.32,23.8,9.4,5.6,10.8,31.6,4,1,0.8,105.4,97.2,8.2,down,15.0,0.2,-12.2,6.2,115,129,244,-14,0,1
1464709c-c177-498a-b019-4d8757a91851,2025-04-11_MIN@MEM,2025-04-11T01:30:00Z,FedExForum,Memphis,583eca88-fb46-11e1-82cb-f4ce4684ea4c,Memphis Grizzlies,MEM,,583eca2f-fb46-11e1-82cb-f4ce4684ea4c,Minnesota Timberwolves,MIN,,5,False,114.2,45.24,33.76,78.36,21.8,8.0,3.8,11.2,39.4,3,2,0.6,114.2,112.4,1.8,down,5,False,117.0,48.16,34.52,74.04,26.6,4.6,6.2,14.0,35.0,4,1,0.8,117.0,110.4,6.6,up,-2.8,-0.2,-2.0,-4.8,125,141,266,-16,0,1
0996686c-61f6-492d-b895-47610fd48a93,2025-04-11_NOP@MIL,2025-04-11T00:00:00Z,Fiserv Forum,Milwaukee,583ecefd-fb46-11e1-82cb-f4ce4684ea4c,Milwaukee Bucks,MIL,,583ecc9a-fb46-11e1-82cb-f4ce4684ea4c,New Orleans Pelicans,NOP,,5,False,120.2,54.2,42.24,74.98,29.8,7.4,4.2,7.0,35.0,5,0,1.0,120.2,112.2,8.0,up,5,False,105.0,46.72,32.24,70.9,27.4,8.4,5.2,10.8,34.0,1,4,0.2,105.0,112.4,-7.4,down,15.2,0.8,0.2,2.4,136,111,247,25,1,0
3f17d0d0-2cad-403e-952a-9b3214f01af2,2025-04-10_ATL@BKN,2025-04-10T23:30:00Z,Barclays Center,Brooklyn,583ec9d6-fb46-11e1-82cb-f4ce4684ea4c,Brooklyn Nets,BKN,,583ecb8f-fb46-11e1-82cb-f4ce4684ea4c,Atlanta Hawks,ATL,,5,False,109.2,45.46,36.0,81.22,28.4,7.6,3.6,8.4,33.4,3,2,0.6,109.2,112.0,-2.8,stable,5,False,119.0,47.36,35.86,82.78,29.4,8.8,5.4,11.6,30.2,1,4,0.2,119.0,124.2,-5.2,down,-9.8,0.4,12.2,-1.0,109,133,242,-24,0,1
26fb5bc0-40d2-4ac0-bdc8-4adab51744b6,2025-04-10_CLE@IND,2025-04-10T23:00:00Z,Gainbridge Fieldhouse,Indianapolis,583ec7cd-fb46-11e1-82cb-f4ce4684ea4c,Indiana Pacers,IND,,583ec773-fb46-11e1-82cb-f4ce4684ea4c,Cleveland Cavaliers,CLE,,5,False,119.8,47.86,34.46,80.5,30.0,8.2,8.0,9.6,34.2,5,0,1.0,119.8,108.8,11.0,stable,5,False,122.6,50.82,37.02,70.96,30.6,9.8,4.0,12.2,31.2,4,1,0.8,122.6,114.6,8.0,stable,-2.8,0.2,5.8,-0.6,114,112,226,2,1,0
7300a6a0-45c3-4bba-963a-017c3dd7b8d1,2025-04-10_NYK@DET,2025-04-10T23:00:00Z,Little Caesars Arena,Detroit,583ec928-fb46-11e1-82cb-f4ce4684ea4c,Detroit Pistons,DET,,583ec70e-fb46-11e1-82cb-f4ce4684ea4c,New York Knicks,NYK,,5,False,108.8,41.6,31.34,78.78,24.6,7.2,5.4,12.0,31.0,1,4,0.2,108.8,116.6,-7.8,down,5,False,112.0,48.4,38.56,78.64,27.0,7.8,4.0,11.6,31.2,3,2,0.6,112.0,107.4,4.6,down,-3.2,-0.4,-9.2,-2.4,115,106,221,9,1,0
a0d2fed2-f308-4c15-a00c-92c98e3a9b29,2025-04-10_HOU@LAC,2025-04-10T02:30:00Z,Intuit Dome,Inglewood,583ecdfb-fb46-11e1-82cb-f4ce4684ea4c,LA Clippers,LAC,,583ecb3a-fb46-11e1-82cb-f4ce4684ea4c,Houston Rockets,HOU,,5,False,116.2,50.76,39.82,79.0,25.8,9.8,3.2,9.6,34.4,5,0,1.0,116.2,99.4,16.8,down,5,False,124.0,49.96,41.94,67.94,28.6,9.2,5.4,14.2,37.0,4,1,0.8,124.0,105.0,19.0,up,-7.8,0.2,5.6,-2.8,134,117,251,17,1,0
